window_size;number_of_epochs;learning_rate
2;131;0.0101;0,839285749165262
2;131;0.0151;0,844581389298897
2;131;0.0201;0,852832222118784
2;131;0.0301;0,849905437361541
2;131;0.0351;0,848694552573781
2;131;0.0401;0,847534096803031
2;131;0.0451;0,847484867900095
2;131;0.0501;0,841403336138389
2;131;0.0551;0,834561796363207
2;131;0.0601;0,844278756152105
2;131;0.0651;0,851677904093916
2;131;0.0751;0,845004245291779
2;131;0.0801;0,843776425219611
2;131;0.0851;0,852077525381479
2;131;0.0901;0,839943307443572
2;131;0.0951;0,852556507251876
2;131;0.1001;0,851693532664521
2;131;0.1051;0,846019760890503
2;131;0.1101;0,838083913209812
2;136;0.0001;0,851093054202074
2;136;0.0051;0,849821954462992
2;136;0.0101;0,848890070683764
2;136;0.0151;0,843433489903358
2;136;0.0201;0,846536427499602
2;136;0.0251;0,848653132419722
2;136;0.0301;0,849987922981196
2;136;0.0351;0,845898275139268
2;136;0.0451;0,844259907612529
2;136;0.0501;0,847583249207037
2;136;0.0551;0,84979960384523
2;136;0.0601;0,845816572064781
2;136;0.0651;0,85092366832239
2;136;0.0701;0,837475185166915
2;136;0.0751;0,82933448744884
2;136;0.0801;0,850263497106382
2;136;0.0901;0,850833857168541
2;136;0.0951;0,85238229545152
2;136;0.1001;0,846175525850785
2;136;0.1051;0,851873707357007
2;136;0.1101;0,850895286693445
2;136;0.1151;0,852435381650504
2;141;0.0001;0,851736611362791
2;141;0.0051;0,846290400049843
2;141;0.0151;0,850372448993992
2;141;0.0201;0,843061794073684
2;141;0.0251;0,845039029197742
2;141;0.0301;0,850788945694018
2;141;0.0351;0,833138113056591
2;141;0.0401;0,849643737651
2;141;0.0451;0,847935951296962
2;141;0.0501;0,852307899371808
2;141;0.0601;0,850918462211377
2;141;0.0651;0,833950478490332
2;141;0.0701;0,841076117092214
2;141;0.0751;0,849527167255441
2;141;0.0801;0,852531415911916
2;141;0.0851;0,837777720103554
2;141;0.0901;0,852494482172446
2;141;0.0951;0,849402758935185
2;141;0.1051;0,848862155184192
2;141;0.1101;0,83616582353365
2;141;0.1151;0,852493141862166
2;146;0.0001;0,851125034491054
2;146;0.0051;0,851213501909929
2;146;0.0101;0,845995758881532
2;146;0.0151;0,846372431374721
2;146;0.0201;0,843807912967451
2;146;0.0301;0,833838459548559
2;146;0.0351;0,843152343499577
2;146;0.0401;0,85033910843192
2;146;0.0451;0,847746067271221
2;146;0.0501;0,851021028720597
2;146;0.0551;0,851993317576507
2;146;0.0601;0,851743463649244
2;146;0.0651;0,852245513410705
2;146;0.0751;0,845390102830978
2;146;0.0801;0,849496222260536
2;146;0.0851;0,851749867571563
2;146;0.0901;0,852552251095779
2;146;0.0951;0,847985304193081
2;146;0.1001;0,850444662416038
2;146;0.1051;0,824325444704097
2;146;0.1101;0,852095770523448
5;1;0.0001;0,704164096231855
5;1;0.0051;0,841043122299271
5;1;0.0101;0,851452017459466
5;1;0.0151;0,851683915605743
5;1;0.0201;0,843869428955186
5;1;0.0251;0,851715976755885
5;1;0.0301;0,851408844275824
5;1;0.0351;0,776169363166964
5;1;0.0451;0,701289822197582
5;1;0.0501;0,832593575099361
5;1;0.0551;0,846091726447107
5;1;0.0601;0,815529638517896
5;1;0.0651;0,713513546235624
5;1;0.0701;0,836303299984004
5;1;0.0751;0,850189210936272
5;1;0.0801;0,823966397959768
5;1;0.0901;0,747550092596327
5;1;0.0951;0,761106747061407
5;1;0.1001;0,843824100356076
5;1;0.1051;0,846263110875121
5;1;0.1101;0,717397759335961
5;1;0.1151;0,851801599197648
5;6;0.0001;0,729818496282601
5;6;0.0051;0,849141916407565
5;6;0.0151;0,851691633459778
5;6;0.0201;0,847846669474756
5;6;0.0251;0,851486903143489
5;6;0.0301;0,851516362022116
5;6;0.0351;0,835926586159702
5;6;0.0401;0,851689608018057
5;6;0.0451;0,850141947495453
5;6;0.0501;0,850273152045943
5;6;0.0601;0,843391525826215
5;6;0.0651;0,851796833371948
5;6;0.0701;0,834204119737038
5;6;0.0751;0,830741656583787
5;6;0.0801;0,846922786338564
5;6;0.0851;0,851497903410827
5;6;0.0901;0,81971246847495
5;6;0.0951;0,849251950596027
5;6;0.1051;0,849679653597655
5;6;0.1101;0,847625016700638
5;6;0.1151;0,850638537752119
5;11;0.0001;0,846076328329755
5;11;0.0051;0,851853701004144
5;11;0.0101;0,840893381550077
5;11;0.0151;0,850815552721588
5;11;0.0201;0,864779242264642
5;11;0.0301;0,847371383901225
5;11;0.0351;0,851743213131252
5;11;0.0401;0,851647457838556
5;11;0.0451;0,850251771418849
5;11;0.0501;0,851849906793289
5;11;0.0551;0,851719920585093
5;11;0.0601;0,830194030638818
5;11;0.0651;0,851658091017142
5;11;0.0751;0,84908431044897
5;11;0.0801;0,851465113495042
5;11;0.0851;0,84983581952046
5;11;0.0901;0,841406543051789
5;11;0.0951;0,838530703433853
5;11;0.1001;0,848941954600813
5;11;0.1051;0,841957411107776
5;11;0.1101;0,83270834131432
5;16;0.0001;0,847940336704236
5;16;0.0051;0,85203039399144
5;16;0.0101;0,858052887383376
5;16;0.0151;0,862854447628364
5;16;0.0201;0,852848519287689
5;16;0.0251;0,861813736315284
5;16;0.0301;0,843859513775865
5;16;0.0351;0,853687809258307
5;16;0.0451;0,867521985659278
5;16;0.0501;0,844228172423904
5;16;0.0551;0,840746265653843
5;16;0.0601;0,838107177297535
5;16;0.0651;0,845042851740786
5;16;0.0701;0,851575987069125
5;16;0.0751;0,846265745518682
5;16;0.0801;0,850237894432584
5;16;0.0901;0,851685279920395
5;16;0.0951;0,848671434364257
5;16;0.1001;0,838576510234729
5;16;0.1051;0,851034775731892
5;16;0.1101;0,844738199385151
5;16;0.1151;0,844123324872362
5;21;0.0001;0,845829941685027
5;21;0.0051;0,859833757871993
5;21;0.0151;0,863213409242997
5;21;0.0201;0,861749950932699
5;21;0.0251;0,85068313993997
5;21;0.0301;0,862322111612984
5;21;0.0351;0,846862563584969
5;21;0.0401;0,86139594263983
5;21;0.0451;0,851364435178923
5;21;0.0501;0,848680897298621
5;21;0.0601;0,835794717280001
5;21;0.0651;0,836163801333402
5;21;0.0701;0,848297901325247
5;21;0.0751;0,851797110429135
5;21;0.0801;0,842755772524755
5;21;0.0851;0,851284221847654
5;21;0.0901;0,837599788176699
5;21;0.0951;0,851325491981546
5;21;0.1051;0,840894351117684
5;21;0.1101;0,850002617450396
5;21;0.1151;0,851224871241072
5;26;0.0001;0,84840485559322
5;26;0.0051;0,861361435236804
5;26;0.0101;0,850472890891558
5;26;0.0151;0,860062671924535
5;26;0.0201;0,842877122311577
5;26;0.0301;0,864227869090855
5;26;0.0351;0,856832005004859
5;26;0.0401;0,864695649083606
5;26;0.0451;0,837689942137445
5;26;0.0501;0,841942704716235
5;26;0.0551;0,845602105450665
5;26;0.0601;0,850245437881474
5;26;0.0651;0,851469693979076
5;26;0.0751;0,851189437296102
5;26;0.0801;0,851100357336983
5;26;0.0851;0,845624718962051
5;26;0.0901;0,851571143871652
5;26;0.0951;0,81355090404657
5;26;0.1001;0,851057312512176
5;26;0.1051;0,851350861873025
5;26;0.1101;0,847738641002408
5;31;0.0001;0,848009270039629
5;31;0.0051;0,860563024967453
5;31;0.0101;0,85879907852087
5;31;0.0151;0,864007534028924
5;31;0.0201;0,858186393595033
5;31;0.0251;0,860924491316622
5;31;0.0301;0,857426681242965
5;31;0.0351;0,848856615870198
5;31;0.0451;0,850013942961558
5;31;0.0501;0,851602087919154
5;31;0.0551;0,838883059370878
5;31;0.0601;0,842659705831661
5;31;0.0651;0,851765303248516
5;31;0.0701;0,851761875387718
5;31;0.0751;0,851799371848798
5;31;0.0801;0,845947511295201
5;31;0.0901;0,851739180028195
5;31;0.0951;0,828045865246563
5;31;0.1001;0,845263156099025
5;31;0.1051;0,85160153384255
5;31;0.1101;0,850670709386247
5;31;0.1151;0,838248406810653
5;36;0.0001;0,850568960764231
5;36;0.0051;0,863757506092441
5;36;0.0151;0,852059466898512
5;36;0.0201;0,861852532824688
5;36;0.0251;0,840316538208036
5;36;0.0301;0,8622047585399
5;36;0.0351;0,842121000606666
5;36;0.0401;0,864415318934336
5;36;0.0451;0,848320381037206
5;36;0.0501;0,816705517873283
5;36;0.0601;0,851799807179555
5;36;0.0651;0,847707280465354
5;36;0.0701;0,851436623085413
5;36;0.0751;0,849894359645717
5;36;0.0801;0,849495485018754
5;36;0.0851;0,851687151811402
5;36;0.0901;0,850280554434689
5;36;0.0951;0,84619273390878
5;36;0.1051;0,850492512156014
5;36;0.1101;0,84404178571449
5;36;0.1151;0,850877121691073
5;41;0.0001;0,850632399943757
5;41;0.0051;0,861039832223709
5;41;0.0101;0,858210390367001
5;41;0.0151;0,848371136650731
5;41;0.0201;0,858443169661256
5;41;0.0301;0,850682196813356
5;41;0.0351;0,853411303000416
5;41;0.0401;0,846299839592415
