IME>;<bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>
13,09,2019 8:00:52;10480;11806,36296376;1817836,66474858;10490;263,78293568;3746872,16843025
13,09,2019 8:01:53;10479,93;11812,55438876;1882679,59206696;10490;263,6212611;3745018,90219186
13,09,2019 8:02:56;10486,16;11805,17604737;1805962,98175318;10498,99999954;262,96636584;3738158,6317895
13,09,2019 8:03:57;10498;11805,87888742;1813351,86192225;10500;262,64308514;3734826,07453489
13,09,2019 8:04:58;10498,61;11806,14978157;1816173,48721769;10501,21000002;263,0108574;3738724,38569052
13,09,2019 8:05:59;10499,52;11806,3058129;1817794,53653871;10501,21000002;263,42680461;3743026,73468502
13,09,2019 8:07:00;10499,52;11806,32670163;1817997,22831098;10501,21000002;263,22241556;3740868,18870355
13,09,2019 8:08:02;10495,26;11806,34200519;1818139,6684411;10499,26;263,72221214;3746107,63768079
13,09,2019 8:09:03;10497,26;11806,30980023;1817804,79024057;10499,26;263,32776493;3741961,62042133
13,09,2019 8:10:04;10498,56;11806,34514862;1818173,66112502;10499,52;262,91810807;3737649,1879596
13,09,2019 8:11:05;10495;11806,21739866;1816833,83186663;10496,76;263,73723148;3746256,98085826
13,09,2019 8:12:07;10495;11813,64432135;1893847,29724856;10496,51;263,55120744;3744241,52018898
13,09,2019 8:13:08;10495;11806,21597241;1816660,92490778;10496,51;263,26037349;3741187,50034922
13,09,2019 8:14:09;10495;11806,03711287;1814787,13548231;10496,51;263,65481454;3745333,73207061
13,09,2019 8:15:10;10495;11806,0237115;1814642,98811837;10496,51;263,19813915;3740533,61728841
13,09,2019 8:16:11;10495;11806,05961651;1815015,23700815;10496,51;262,87339099;3737062,06564828
13,09,2019 8:17:13;10495;11806,01821817;1814557,78282969;10495,91;262,80227798;3732545,29152757
13,09,2019 8:18:14;10495;11806,02585322;1814461,1508401;10498,75999999;263,22133134;3737104,04890224
13,09,2019 8:19:15;10495;11806,02463362;1814451,54908375;10498,75799995;263,11355648;3735959,99699185
13,09,2019 8:20:16;10495;11806,16762917;1815953,39616088;10497,99999999;262,89293899;3733640,49123357
13,09,2019 8:21:18;10495;11805,78091013;1811861,79534955;10497,99799996;263,16693899;3736517,54302784
13,09,2019 8:22:19;10495;11805,90650479;1813180,28171893;10497,99699993;263,16375015;3736484,18509992
13,09,2019 8:23:20;10495;11805,7551388;1811591,28611177;10497,99499989;263,03638297;3734989,52368997
13,09,2019 8:24:22;10497,99199983;11806,1451242;1815595,03930036;10498,75999999;262,80318297;3732418,21441897
13,09,2019 8:25:23;10497,99199984;11806,2226448;1816397,6455077;10498,75999999;262,70538297;3731389,94332116
13,09,2019 8:26:24;10497,99199984;11806,23019983;1816484,94143764;10498,75999999;262,76803404;3732048,60469932
13,09,2019 8:27:25;10495;11806,10476905;1815168,4902354;10497,99099981;263,00111827;3734494,57877045
13,09,2019 8:28:27;10495;11806,1709128;1815856,52205518;10497,98799976;263,2734199;3737475,13861095
13,09,2019 8:29:28;10495;11806,20508609;1816218,19840151;10497,98499969;263,0204083;3734808,107699
13,09,2019 8:30:29;10455,63000002;11805,67052052;1808329,41095298;10468,62;263,40807757;3738953,65079518
13,09,2019 8:31:30;10451,34;11805,62794933;1807902,30248671;10457,56;263,42037537;3739093,57216386
13,09,2019 8:32:32;10454;11805,81302056;1809811,77481903;10457,27;262,80689433;3732627,92568659
13,09,2019 8:33:33;10450,14;11805,54628349;1804582,02944398;10454,17;263,56932566;3740642,62197742
13,09,2019 8:34:35;10452,21;11805,78923566;1807106,68968987;10454,17;263,61779057;3741145,70822533
13,09,2019 8:35:36;10451,45;11805,61335302;1805275,98525588;10462,12;263,27888536;3737599,09502925
13,09,2019 8:36:37;10451,07;11805,86377652;1807885,46334984;10458,59;263,74822659;3742512,699167
