<bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>
0.02615113;0.97214512;0.68464617;0.06958877;1;0.72207249
0.10572758;1;0.76590188;0.13904548;0.47212112;0.30048804
0.10572758;0.73448151;0.30758027;0.16219772;0.68823462;0.47491762
0.10572758;0.78180047;0.39264106;0.16219772;0.70994826;0.49284393
0.09176961;1;0.79424804;0.19646303;0.47263855;0.30477002
0.108455;0.78526932;0.4158338;0.20078478;0.21722259;0.10208729
0.10909674;0.97770624;0.75617257;0.20078478;0.63625629;0.43570973
0.01604364;0.99524768;0.78704525;0.26252408;0;0
0.16043639;1;0.81848986;0.26252408;0.62934301;0.47160952
0.17984919;0.97998632;0.78227867;0.26252408;0.15593847;0.11699643
0.19845981;0.79620363;0.4532099;0.26252408;0.08821396;0.06621659
0.16043639;0.70218352;0.28345127;0.17763254;0.59672384;0.44778931
0.16236162;0.93565164;0.70217221;0.2779589;0.60954518;0.45705498
0.19541152;1;0.83944267;0.21004568;0.23031646;0.17282164
0.18161399;0.93907203;0.72802978;0.21004568;0.53757658;0.40330373
0.18466228;0.96811288;0.78093031;0.21004568;0.10558392;0.07906038
0.11230547;0.72790164;0.3445087;0.15448031;0.53778934;0.40273129
