<DATEandTIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
0.5;0.499000;0.497999;0.494;0.500999
0.5;0.500999;0.503;0.5;0.497999
0.5;0.497999;0.497;0.504000;0.5
0.5;0.501000;0.499000;0.497;0.5
0.5;0.489999;0.498999;0.497;0.499000
0.5;0.507000;0.502000;0.503;0.441000
0.5;0.503999;0.5;0.549599;0.561
0.5;0.499000;0.506999;0.450400;0.506999
0.5;0.506999;0.5;0.506;0.497999
0.5;0.497;0.498000;0.5;0.496000
0.5;0.497;0.494999;0.488;0.494999
0.5;0.494999;0.5;0.506;0.502000
0.5;0.502000;0.500999;0.503;0.503999
0.5;0.503999;0.502000;0.549999;0.501000
0.5;0.504000;0.503;0.454999;0.501999
0.5;0.498999;0.500999;0.503;0.502000
0.5;0.502000;0.502000;0.503;0.500999
0.5;0.500999;0.500999;0.502000;0.490600
0.5;0.501000;0.499000;0.497999;0.507400
0.5;0.501999;0.500999;0.498000;0.503999
0.5;0.499000;0.5;0.548899;0.500999
0.5;0.500999;0.505000;0.457100;0.505000
0.5;0.505000;0.500999;0.5;0.499000
0.5;0.499000;0.498000;0.5;0.498999
0.5;0.498999;0.501999;0.497;0.493000
0.5;0.493000;0.492000;0.497;0.497
0.5;0.497;0.497999;0.497;0.500999
0.5;0.500999;0.497999;0.5471;0.5
0.5;0.5;0.506;0.457899;0.504000
0.5;0.504000;0.5;0.494;0.4831
0.5;0.495999;0.496000;0.5;0.496899
0.5;0.498000;0.496000;0.495000;0.512999
0.5;0.498999;0.501999;0.503;0.5
0.5;0.5;0.498000;0.497999;0.5
0.5;0.503;0.501999;0.548699;0.5
0.5;0.497;0.501000;0.451300;0.501000
0.5;0.501000;0.500999;0.502000;0.501999
0.5;0.501999;0.497999;0.546699;0.497
0.5;0.497;0.498000;0.500300;0.501000
0.5;0.504000;0.503;0.5;0.497
0.5;0.494;0.497;0.451000;0.501999
0.5;0.501999;0.5;0.503;0.5
0.5;0.5;0.498999;0.496000;0.497
0.5;0.497;0.502000;0.503;0.505000
0.5;0.507000;0.502000;0.546099;0.499000
0.5;0.497;0.497;0.450900;0.495999
0.5;0.495999;0.497;0.494999;0.5
0.5;0.499000;0.497999;0.497;0.496000
0.5;0.497;0.5;0.505000;0.503
0.5;0.505000;0.502000;0.494999;0.496000
0.5;0.494;0.494999;0.546599;0.5
0.5;0.484999;0.503;0.456400;0.503
0.5;0.516999;0.497999;0.497;0.497
0.5;0.498000;0.498000;0.546900;0.5
0.5;0.503;0.503;0.451099;0.495999
0.5;0.492999;0.494;0.498000;0.499000
0.5;0.5;0.500999;0.503;0.500999
0.5;0.5;0.5;0.546499;0.501000
0.5;0.501000;0.5;0.451500;0.5
0.5;0.5;0.518000;0.502000;0.500999
0.5;0.500999;0.482999;0.5456;0.499000
0.5;0.5;0.5;0.501399;0.501999
0.5;0.5;0.501000;0.499699;0.499000
0.5;0.5;0.497999;0.451300;0.499000
0.5;0.502000;0.502000;0.5;0.497
0.5;0.494;0.494;0.497;0.436999
0.5;0.5;0.5;0.497;0.561
0.5;0.498999;0.503;0.503;0.505000
0.5;0.504000;0.503999;0.502000;0.503999
0.5;0.506;0.503;0.509999;0.487699
0.5;0.498999;0.502000;0.497;0.515300
0.5;0.489600;0.497999;0.505000;0.5
0.5;0.5124;0.502000;0.5471;0.500999
0.5;0.500999;0.5;0.448899;0.498000
