<bid_top>;<c>;<c2>;p
0.8119858;0.24922332;0.41821447;0.000595
0.81217676;0.21101978;0.36929855;0.00060604
0.81237143;0.22426134;0.39517552;0.03001112
0.8125808;0.24413148;0.41436058;0.0300001
0.8127828;0.3300137;0.50753075;0.0347329
0.84238255;0.3674816;0.5149184;0.03913455
0.8425809;0.23613825;0.44891694;0.04258336
0.8475157;0.27484465;0.45375878;0.0410427
0.8815171;0.22682264;0.47533572;0.0070413
0.88516426;0.2452552;0.45881742;0
0.8885584;0.27032554;0.45243332;0.00950127
0.8885584;0.2805507;0.40944922;-0.00339414
0.88516426;0.45448574;0.4521159;0
0.89805967;0.16511887;0.6207107;-0.00554961
0.88516426;0.21959057;0.5034027;0.01074064
0.88516426;0.18218154;0.61714697;0.01074064
0.89251006;0.18844643;0.34170705;0.00339484
0.8959049;0.26693612;0.40218052;-0.01074064
0.8959049;0.24277413;0.4481395;-0.01074064
0.8959049;0.25443134;0.47098327;-0.0073465
0.88516426;0.26108164;0.44665256;0.00339414
0.88516426;0.2532944;0.45088252;0.00339414
0.8885584;0.16390389;0.49167076;0
0.8885584;0.15537596;0.47440574;0
0.8885584;0.2338672;0.47887114;-0.00339414
0.8885584;0.2245146;0.4355067;-0.00339414
0.8885584;0.4061239;0.43111286;-0.00339414
0.88516426;0.29169416;0.45604947;0
0.88516426;0.45017165;0.4284975;0.00339414
0.88516426;0.05506745;0.46862498;0
0.88516426;0.23374218;0.45763692;0
0.8885584;0.23386154;0.4787117;-0.00339414
0.88516426;0.2524811;0.42880344;-0.0404017
0.88516426;0.23329833;0.43044204;-0.03701162
0.88516426;0.5199515;0.4991707;-0.03701156
0.84476256;0.10393134;0.4800657;0.0036729
0.84815264;0.20518485;0.45862922;0.00028282
0.8481527;0.22235659;0.43858767;0.00028276
0.84843546;0.23317382;0.4340147;0
0.84843546;0.23293903;0.43098575;0.0036729
0.84843546;0.23468542;0.43417212;0.00706369
0.84843546;0.54669666;0.44779828;0
0.85210836;0.15938258;0.47621706;-0.03110936
0.85549915;0.4751954;0.4908134;-0.03450015
0.84843546;0.3695234;0.45407602;-0.02743646
0.820999;0.36963367;0.4951402;0
0.820999;0.09697741;0.39705306;0
0.820999;0.2284449;0.46765015;9.92E-05
0.820999;0.2631821;0.39381954;-0.391901
0.820999;0.29580218;0.42648864;-0.39147857
0.8210982;0.51254296;0.48603445;-0.39099105
0.429098;0.40210977;0.038419005;0.01370568
0.42952043;0.2762973;0.05110038;0.01328327
0.43010715;0.30595836;0.21987711;0.01269659
0.44280368;0.3267476;0.4751465;0.00033802
0.4428037;0.63277584;1.3987751;-0.00239002
0.44280374;0.23292357;0.02787168;-0.00239006
0.4431417;0.4813202;0.105628684;-0.00222105
0.44041368;0.07379988;0.22964412;0.00065184
0.44041368;0.22305909;0.35352466;0.00065184
0.44092065;0.3540028;0.34023547;0.0001449
0.44106552;0.27609318;0.29937577;-0.19179384
0.44106552;0.2891959;0.3004623;-0.19201733
0.44106555;0.3205315;0.27322823;-0.2062529
0.24927168;0.44876868;0.05566836;-0.01794124
0.24904819;0.38507324;0.09371256;-0.03446023
0.23481265;0.32515627;0.18208131;-0.02022469
0.23133044;0.37862486;0.13192527;-0.01674245
0.21458796;0.3270417;0.2200662;3E-08
0.21458796;0.32934153;0.23480512;4E-08
0.21458799;0.33811814;0.19429368;3E-08
0.21458799;0.4063022;0.25785604;3E-08
0.214588;0.70952886;0.35289827;-0.0577776
0.21458802;0.58415943;0.3407423;-0.05796215
0.21458802;0.54105127;0.3280413;-0.05845468
0.1568104;0.11318952;0.1981819;0.2882838
0.15662587;0.30961818;0.12296345;-0.09815192
0.15613334;0.45245355;0.17827058;-0.09765936
0.4450942;0.31796265;0.5737696;-0.3866202
0.05847395;0.42735824;0.12589137;7E-08
0.05847398;0.32748985;0.07682389;6E-08
0.058474;0.34299797;0.10631641;6E-08
0.05847402;0.44193855;0.16784978;6E-08
0.05847404;0.40233523;0.1872736;6E-08
0.05847406;0.37763214;0.1888461;0.25408417
0.05847408;0.34149486;0.17112456;0.25408415
0.0584741;0.37305698;0.17173506;0.25408413
0.31255823;0.2729879;0.53374386;0.00068164
0.31255823;0.33554292;0.4106111;0.21931757
0.31255823;0.31009263;0.700742;0.22072262
0.31323987;0.33555645;0.5673883;0.28294923
0.5318758;0.07859233;0.62565374;0.06543325
0.53328085;0.21883833;0.5070486;0.0640282
0.5961891;0.28897578;0.48304722;0.00112
0.59730905;0.31877053;0.4320335;0.00054985
0.59730905;0.29204822;0.41468257;0.0019753
0.5973091;0.28447413;0.4183986;0.2582221
0.5978589;0.25367588;0.41579437;0.28291804
0.59928435;0.3397094;0.4434165;0.38440475
0.8555312;0.25698996;0.61824745;-0.1337989
0.88077694;0.22454283;0.62664515;-0.15779514
0.9836891;0.25221282;0.59195524;-0.2487193
0.7217323;0.3069722;0.43255034;0.01323755
0.7229818;0.39134958;0.44240266;0.01198805
0.7349698;0.26949716;0.50961846;1E-07
0.73496985;0.28933653;0.52564925;5E-08
0.73496985;0.26414013;0.51509315;1.5E-07
0.7349699;0.25409567;0.5056002;1E-07
0.7349699;0.2843598;0.50419414;-0.3804886
0.73497;0.3245051;0.44265303;-0.38048866
0.73497;0.36170805;0.47261503;-0.38048863
0.3544813;0.3187967;0.11546337;1E-07
0.35448134;0.59562886;0.11279098;-0.00329059
0.35448137;0.39164424;0.26058286;-0.29292392
0.3544814;0.4280065;0.44562075;-0.29292395
0.35119075;0.5275556;0.2684478;-0.2896333
0.06155745;0.54090285;0.06381272;0
0.06155745;0.7496681;0.21515098;2E-08
0.06155745;0.5903456;0.027819607;2E-08
0.06155745;0.8169267;0.11103075;2E-08
0.06155747;0.597412;0.35322675;1E-08
0.06155747;0.67417145;0.21481255;2E-08
0.06155747;0.60429144;0.3423374;6E-08
0.06155748;0.60831255;0.30202642;0.14577975
0.06155749;0.45147556;0.40052548;0.14597173
0.06155753;0.30734244;0.6302619;0.2544502
0.20733723;0.32866699;0.58567846;-0.14487451
0.20752922;0.31133902;0.520884;-0.14320953
0.31600773;0.12135658;0.5628525;-0.24812884
0.06246272;0.6961385;0.014939238;0.31210962
0.06431969;0.34718978;0.16499843;0.00408299
